kope100-00006790-00007090 seq01
kope100-00011830-00012500 seq02
kope100-00035670-00035900 seq03
kope101-00004130-00004650 seq04
kope101-00016760-00017240 seq05
kope101-00020790-00022680 seq06
kope101-00038550-00039100 seq07
kope101-00060000-00060400 seq08
kope102-00000001-00000350 seq09
kope102-00000001-00000800 seq10
kope102-00000260-00001100 seq11
kope102-00003600-00004500 seq12
kope102-00005520-00006840 seq13
kope102-00007700-00008300 seq14
kope102-00008330-00008570 seq15
kope102-00010100-00010600 seq16
kope102-00012900-00013300 seq17
kope102-00018000-00018500 seq18
kope102-00019690-00020100 seq19
kope102-00021720-00022430 seq20
kope102-00022135-00022435 seq21
kope103-00000800-00001400 seq22
kope103-00007600-00008500 seq23
kope103-00012140-00013500 seq24
kope103-00013900-00014500 seq25
kope103-00014700-00016400 seq26
kope103-00018120-00019680 seq27
kope103-00020600-00022400 seq28
kope103-00023400-00024890 seq29
kope103-00025800-00026410 seq30
kope103-00026610-00026940 seq31
kope103-00028030-00030100 seq32
kope103-00030190-00032000 seq33
kope103-00032520-00034550 seq34
kope103-00036460-00039500 seq35
kope103-00039900-00041200 seq36
kope103-00042560-00044420 seq37
kope103-00046750-00048930 seq38
kope103-00049200-00050140 seq39
kope103-00050500-00050990 seq40
kope103-00051300-00052210 seq41
kope103-00052430-00052510 seq42
kope103-00054020-00054500 seq43
kope103-00057010-00057200 seq44
kope103-00059850-00061070 seq45
kope103-00061230-00062120 seq46
kope104-00003800-00004300 seq47
kope104-00008600-00009000 seq48
kope104-00022710-00023880 seq49
kope104-00024660-00027060 seq50
kope104-00030160-00031540 seq51
kope104-00031570-00031970 seq52
kope104-00031990-00033720 seq53
kope104-00034490-00035200 seq54
kope104-00035730-00036300 seq55
kope104-00036570-00038300 seq56
kope104-00038970-00040280 seq57
kope104-00042350-00043500 seq58
kope104-00052550-00053080 seq59
kope104-00057660-00058480 seq60
kope104-00060900-00061300 seq61
kope104-00065550-00066030 seq62
kope104-00074750-00075530 seq63
stru01-00002090-00003220 seq64
stru01-00010160-00011070 seq65
stru02-00003200-00004150 seq66
stru02-00006700-00007500 seq67
stru02-00011440-00012220 seq68
stru02-00013150-00014600 seq69
stru02-00017200-00018500 seq70
stru02-00027600-00028800 seq71
stru02-00038000-00039300 seq72
stru02-00041450-00041700 seq73
stru02-00041800-00042750 seq74
stru02-00043360-00044180 seq75
stru02-00047000-00047720 seq76
stru02-00062430-00063100 seq77
stru02-00071300-00072000 seq78
stru02-00073800-00074100 seq79
stru02-00078630-00079230 seq80
stru02-00079900-00080410 seq81
stru02-00080600-00081010 seq82
stru02-00081400-00082400 seq83
stru02-00083140-00083450 seq84
stru02-00084740-00085290 seq85
stru02-00088350-00088690 seq86
stru02-00097380-00097740 seq87
stru02-00099710-00099970 seq88
stru02-00108720-00109150 seq89
stru02-00111210-00111600 seq90
stru02-00111850-00112250 seq91
stru02-00114220-00114400 seq92
stru02-00116500-00117000 seq93
stru02-00118250-00118800 seq94
